1,2,3,4,5,6
1.8,0.9,1.5,0.3,2.7,1107.5
1.4,0.3,0.9,1.5,0.9,1077.5
0.2,1.5,1.5,0.3,2.1,1160.5
1.4,0.3,1.5,2.1,1.5,914.5
0.6,1.5,0.9,2.7,1.5,957.5
0.2,2.1,1.5,1.5,0.3,899.5
1.8,0.3,0.3,1.5,2.1,818.5
1.4,0.3,2.1,1.5,1.5,1106.5
1.0,0.9,2.1,0.9,2.7,895.5
1.0,2.1,2.7,2.1,2.1,945.5
1.0,1.5,2.1,0.3,2.1,953.5
0.001184807122293,0.669304814422301,1.67746481569584,3.73189352974174,26.9381852911549,103.592317154574
0.001674863536043,0.159429672445612,0.465219971533373,5.29479303786588,14.8781772804836,118.17630209913
0.001184807122293,0.125069852359359,1.25885257691742,2.03892765554061,5.11512401817633,213.703381169288
0.001184807122293,0.669304814422301,1.22882067231997,4.7468951955961,50.0140539744313,54.467907540717
0.009379362249667,0.696466659204359,1.84381524125871,4.74458026173703,32.5031302319784,47.5888717937421
0.001184807122293,0.669304814422301,0.722227118556842,5.56547154459592,15.5427798929805,20.0623379644223
0.001184807122293,0.219810003228458,2.00031441759586,4.74458026173703,52.2051841493094,188.546731605111
0.009379362249667,0.85605963691398,1.84381524125871,2.30208980672942,47.6425939958779,1.91410575235981
0.003956792708048,0.159429672445612,0.818553339151812,4.7468951955961,47.6683103538848,170.605701671175
0.001674863536043,0.66742388627386,2.29039417191714,4.7468951955961,10.7067669185716,113.707852315499
0.009379362249667,0.696466659204359,0.857714258677132,5.08499391660434,53.9164507861764,123.218577668794
0.009379362249667,0.696466659204359,1.67746481569584,5.56547154459592,57.12509089786,140.691994315265
0.009379362249667,0.66742388627386,1.84381524125871,5.08499391660434,57.1870153675368,224.246861704966
0.001674863536043,0.219810003228458,0.857714258677132,6.06338068395166,8.9108511019036,113.707852315499
0.003956792708048,0.125069852359359,2.29039417191714,4.6054955934053,43.9980997912478,188.546731605111
0.003956792708048,0.878134665686893,1.6495891729209,5.00276884416484,47.8056361857792,173.567690774932
0.001184807122293,0.696466659204359,1.6495891729209,6.06338068395166,37.1798394615965,173.176851558334
0.001184807122293,0.126648485606396,1.22882067231997,3.73189352974174,54.5373579950553,71.7951142551177
0.009379362249667,0.85605963691398,0.372745389430167,2.30208980672942,26.9381852911549,73.1405861460782
0.00020482741343,0.85605963691398,0.818553339151812,5.29479303786588,5.11512401817633,100.24314955199
0.003956792708048,0.126648485606396,0.818553339151812,4.6054955934053,36.230658880333,63.8510090849273
0.001184807122293,0.669304814422301,2.16991913210834,3.7936094671661,25.3237048578636,130.165858600398
0.003956792708048,0.696466659204359,2.00031441759586,0.861369047618863,47.6425939958779,8.8689271478315
0.003956792708048,0.353391309914348,1.84381524125871,6.29237150118462,54.5846815339611,217.124347441283
0.001674863536043,0.219810003228458,1.67746481569584,4.74458026173703,1.8425203416257,97.0519971221047
0.009379362249667,0.126648485606396,2.29039417191714,5.08499391660434,14.3608358609851,24.1621590955297
0.00020482741343,0.85605963691398,0.857714258677132,2.71127987124956,1.07372705559584,88.4443054220429
0.009379362249667,0.696466659204359,0.857714258677132,3.05970980393523,55.8292458130439,63.8510090849273
